Year,Lat,Lon,days_below_55F,days_below_32F,days_below_28F,days_below_26F,annual_min_temp_F
1956,34.0,-87.75,174,39,11,6,21.378693
1956,34.0,-87.5,173,38,11,8,21.472736
1956,34.0,-87.25,172,37,11,8,21.990412
1956,34.0,-87.0,172,36,10,8,22.746271
1956,34.0,-86.75,175,37,14,8,21.937677
1956,34.0,-86.5,176,37,12,7,23.101349
1956,34.0,-86.25,180,37,13,7,22.700567
1956,34.0,-86.0,182,35,15,10,22.479084
1956,34.0,-85.75,183,33,13,8,23.262629
1956,34.0,-85.5,182,35,14,8,23.450275
1956,34.0,-85.25,182,38,15,8,22.86668
1956,34.0,-85.0,183,40,18,11,22.648712
1956,34.0,-84.75,185,40,17,10,22.037434
1956,34.0,-84.5,185,39,17,10,21.861212
1956,34.0,-84.25,184,37,17,10,21.713556
1956,34.0,-84.0,180,36,16,10,21.977228
1956,34.0,-83.75,179,35,14,8,22.416681
1956,34.0,-83.5,175,32,12,6,22.733088
1956,34.0,-83.25,174,31,11,5,23.007305
1956,34.0,-83.0,170,28,10,6,23.474884
1956,34.0,-82.75,171,27,11,9,24.25711
1956,34.0,-82.5,167,22,9,5,25.074932
1956,34.0,-82.25,165,24,8,2,24.855646
1956,34.0,-82.0,167,25,8,4,25.1659
1956,34.0,-81.75,166,25,9,6,24.288311
1956,34.0,-81.5,164,23,6,1,25.82464
1956,34.0,-81.25,160,19,4,0,26.265411
1956,34.0,-81.0,163,25,9,5,23.651983
1956,34.0,-80.75,162,29,10,8,22.448761
1956,34.0,-80.5,158,28,10,7,23.163311
1956,34.0,-80.25,157,24,10,5,21.985138
1956,34.0,-80.0,157,26,10,6,20.62547
1956,34.0,-79.75,153,27,10,7,21.159845
1956,34.0,-79.5,153,27,11,6,21.97459
1956,34.0,-79.25,154,27,9,6,21.988653
1956,34.0,-79.0,154,28,10,6,21.584356
1956,34.0,-78.75,149,21,5,1,24.49178
1956,34.0,-78.5,129,2,0,0,30.81419
1956,34.0,-78.25,124,0,0,0,32.255596
1956,34.0,-78.0,120,0,0,0,33.190754
1956,33.75,-95.0,171,34,20,9,14.24461
1956,33.75,-94.75,170,36,16,10,18.807892
1956,33.75,-94.5,170,36,17,10,20.683918
1956,33.75,-94.25,171,33,15,9,22.381964
1956,33.75,-94.0,168,29,12,4,23.840948
1956,33.75,-93.75,165,31,12,6,23.793926
1956,33.75,-93.5,168,33,10,5,23.901154
1956,33.75,-93.25,165,31,9,4,24.010138
1956,33.75,-93.0,164,27,11,4,24.182404
1956,33.75,-92.75,163,28,11,3,24.070782
1956,33.75,-92.5,162,29,9,3,24.236017
1956,33.75,-92.25,158,28,8,3,24.148127
1956,33.75,-92.0,158,27,7,2,24.39422
1956,33.75,-91.75,154,26,7,1,24.05672
1956,33.75,-91.5,156,27,6,3,23.771954
1956,33.75,-91.25,155,23,6,3,23.926641
1956,33.75,-91.0,157,24,6,3,24.026836
1956,33.75,-90.75,158,24,8,3,23.169025
1956,33.75,-90.5,159,24,7,3,22.550274
1956,33.75,-90.25,159,25,9,3,21.720587
1956,33.75,-90.0,157,24,5,3,24.025959
1956,33.75,-89.75,157,23,5,3,24.166584
1956,33.75,-89.5,162,22,5,3,24.377522
1956,33.75,-89.25,167,27,7,3,22.475567
1956,33.75,-89.0,169,30,12,4,20.984064
1956,33.75,-88.75,169,37,11,4,20.721272
1956,33.75,-88.5,171,38,11,6,20.425959
1956,33.75,-88.25,167,36,10,7,21.38924
1956,33.75,-88.0,163,37,10,8,20.98714
1956,33.75,-87.75,166,34,10,8,21.413849
1956,33.75,-87.5,166,34,9,8,21.853302
1956,33.75,-87.25,168,35,11,8,21.916584
1956,33.75,-87.0,168,33,11,8,22.566975
1956,33.75,-86.75,172,34,14,8,22.834162
1956,33.75,-86.5,176,34,11,7,23.372051
1956,33.75,-86.25,178,31,14,8,23.36502
1956,33.75,-86.0,180,34,16,10,22.349005
1956,33.75,-85.75,180,33,13,8,22.759893
1956,33.75,-85.5,183,37,12,8,22.469416
1956,33.75,-85.25,183,37,15,9,22.117853
1956,33.75,-85.0,183,40,17,10,21.721027
1956,33.75,-84.75,185,38,19,10,21.833527
1956,33.75,-84.5,183,35,17,11,21.892853
1956,33.75,-84.25,183,34,16,10,21.667852
1956,33.75,-84.0,179,33,13,9,21.917461
1956,33.75,-83.75,174,33,13,8,22.388556
1956,33.75,-83.5,169,30,11,5,22.887775
1956,33.75,-83.25,169,30,12,5,23.176056
1956,33.75,-83.0,169,26,11,7,23.728008
1956,33.75,-82.75,169,27,11,8,23.967072
1956,33.75,-82.5,166,23,10,2,25.130743
1956,33.75,-82.25,162,17,6,0,26.04832
1956,33.75,-82.0,164,22,9,5,25.061749
1956,33.75,-81.75,165,25,9,7,23.588263
1956,33.75,-81.5,164,24,11,7,22.421076
1956,33.75,-81.25,162,25,12,6,22.105549
1956,33.75,-81.0,162,25,9,6,23.32547
1956,33.75,-80.75,154,23,9,4,24.428936
1956,33.75,-80.5,153,22,8,3,25.129864
1956,33.75,-80.25,151,22,9,3,23.669123
1956,33.75,-80.0,153,23,9,4,21.638409
1956,33.75,-79.75,154,25,8,6,21.63797
1956,33.75,-79.5,150,27,9,5,21.490314
1956,33.75,-79.25,151,27,9,5,21.732014
1956,33.75,-79.0,137,13,1,0,26.17928
1956,33.5,-95.0,167,32,18,11,18.400959
